14K577    Conselyea Preparatory School
14K582    M.S. 582
14K586    Lyons Community School
14K610    Automotive High School
14K614    Young Women's Leadership School of Brooklyn
14K632    Frances Perkins Academy
14K685    El Puente Academy for Peace and Justice
15K001    P.S. 001 The Bergen
15K010    Magnet School of Math, Science and Design Technology
15K015    P.S. 015 Patrick F. Daly
15K024    P.S. 024
15K029    P.S. 029 John M. Harrigan
15K032    P.S. 032 Samuel Mills Sprole
15K038    P.S. 038 The Pacific
15K039    P.S. 039 Henry Bristow
15K051    M.S. 51 William Alexander
15K058    P.S. 058 The Carroll
15K088    J.H.S. 088 Peter Rouget
15K094    P.S. 094 The Henry Longfellow
15K107    P.S. 107 John W. Kimball
15K118    The Maurice Sendak Community School
15K124    P.S. 124 Silas B. Dutcher
15K130    P.S. 130 The Parkside
15K131    P.S. 131 Brooklyn
15K136    I.S. 136 Charles O. Dewey
